barcode,image,color,Notes
768895144505,0003_1,Silver,
769006110702ROCH,0003,Black,
769006145702ROCH,0005,Navy Blue,
768895100505,0006_1,White,
769414125701ROCH,0007,Beige,
769015100750ROCH,0009,White,
769008100702ROCH,0011,White,
769008125702ROCH,0013,Beige,
769004100702ROCH,0015,White,
769014149750ROCH,0017,Pink,
769015125750ROCH,0019,Beige,
769012125750ROCH,0021,Beige,
769012100750ROCH,0023,White,
769010100702ROCH,0025,White,
769010125702ROCH,0027,Beige,
769017100701ROCH,0029,White,
769017125701ROCH,0031,Beige,
769005125702ROCH,0033,Beige,
769005100750ROCH,0035,White,
768896100503,0091,White,
768896,0095,Beige,"Blurried label, can't see barcode"
768896125505,0096,Beige,
768896149505,0100,Pink,
768896101505,0104,Red,
768896144504,0108,Silver,
768896127505,0111,Beige,
768897125505,0115,Beige,
768897101505,0119,Red,
768897149505,0122,Pink,
768897127505,0124,Beige,
768897100505,0127,White,
768897144505,0130,Silver,
768898127502,0134,Beige,
768898144505,0137,Silver,
768898100505,0140,White,
768898125505,0143,Beige,
768898101505,0146,Red,
768898149505,0149,Pink,
768895101505,0152,Red,
